0000015/4/03/09/2016,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10186/INV/SBY/01/2020
0000001/4/17/02/2016,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10182/INV/MKS/01/2020
0000002/4/17/02/2016,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10183/INV/MKS/01/2020
0000010/4/03/02/2016,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10185/INV/SBY/01/2020
0000004/4/17/02/2016,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10184/INV/MKS/01/2020
0000017/4/03/01/2017,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10188/INV/SBY/01/2020
0000016/4/17/01/2017,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10187/INV/MKS/01/2020
0000017/4/17/01/2017,BORWITA CITRA PRIMA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10189/INV/MKS/01/2020
0000167/4/08/06/2017,PT KRAMA YUDHA TIGA BERLIAN MOTORS,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-02-09 00:00:00.000,10191/INV/JKN/01/2020
0000168/4/08/06/2017,PT KRAMA YUDHA TIGA BERLIAN MOTORS,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-02-09 00:00:00.000,10192/INV/JKN/01/2020
0000028/4/12/11/2016,PT. TRIMURNI USAHA JAYA,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10190/INV/PLB/01/2020
0000276/4/01/03/2019,PT. BIMA SAKTI UTAMA,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-01-24 00:00:00.000,10201/INV/JKC/01/2020
0000223/4/10/07/2019,PT. ANUGERAH PRIMA SEJAHTERAH,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10194/INV/JKS/01/2020
0000204/4/10/10/2018,PT. ANUGERAH PRIMA SEJAHTERAH,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-11 00:00:00.000,10193/INV/JKS/01/2020
0000246/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10195/INV/JKN/01/2020
0000247/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10196/INV/JKN/01/2020
0000248/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10197/INV/JKN/01/2020
0000249/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10198/INV/JKN/01/2020
0000250/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-03-09 00:00:00.000,10199/INV/JKN/01/2020
0000262/4/01/01/2019,KARANGJUANG HIJAULESTARI. PT,2019-12-11 00:00:00.000,2020-01-10 00:00:00.000,2020-02-12 00:00:00.000,10200/INV/JKC/01/2020
0000229/4/08/01/2019,PT. KRAMA YUDHA RATU MOTOR,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-02-25 00:00:00.000,10205/INV/JKN/01/2020
0000157/4/08/07/2017,MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA. PT,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-03-10 00:00:00.000,10203/INV/JKN/01/2020
0000383/4/01/11/2019,ECOLAB INTERNATIONAL INDONESIA. PT,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-03-09 00:00:00.000,10207/INV/JKC/01/2020
0000020/4/31/07/2015,TENANG JAYA SEJAHTERA. PT,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-01-25 00:00:00.000,10202/INV/KRW/01/2020
0000353/4/01/09/2019,PT. SELATANINDO BATAM MANDIRI,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-01-25 00:00:00.000,10206/INV/JKC/01/2020
0000187/4/08/12/2017,PT KRAMA YUDHA TIGA BERLIAN MOTORS,2019-12-12 00:00:00.000,2020-01-11 00:00:00.000,2020-02-13 00:00:00.000,10204/INV/JKN/01/2020
0000269/4/08/07/2019,PT KRAMA YUDHA TIGA BERLIAN MOTORS,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-02-12 00:00:00.000,10216/INV/JKN/01/2020
0000047/4/31/01/2019,TENANG JAYA SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-26 00:00:00.000,10208/INV/KRW/01/2020
0000203/4/01/03/2017,PT. AUTORENT LANCAR SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-04-10 00:00:00.000,10209/INV/JKC/01/2020
0000257/4/01/12/2018,PT. AUTORENT LANCAR SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-12 00:00:00.000,10213/INV/JKC/01/2020
0000258/4/01/12/2018,PT. AUTORENT LANCAR SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-12 00:00:00.000,10214/INV/JKC/01/2020
0000259/4/01/12/2018,PT. AUTORENT LANCAR SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-12 00:00:00.000,10215/INV/JKC/01/2020
0000278/4/01/04/2019,PT. AUTORENT LANCAR SEJAHTERA,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-12 00:00:00.000,10218/INV/JKC/01/2020
0000236/4/10/07/2019,PT. ANUGERAH PRIMA SEJAHTERAH,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-03-11 00:00:00.000,10210/INV/JKS/01/2020
0000280/4/08/09/2019,PT TRANSLINK GLOBAL SERVICES,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-02-11 00:00:00.000,10219/INV/JKN/01/2020
0000237/4/10/07/2019,BAHANA PRESTASI. PT,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-02-12 00:00:00.000,10211/INV/JKS/01/2020
0000255/4/01/11/2018,IIJ GLOBAL SOLUTIONS INDONESIA. PT,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-01-26 00:00:00.000,10212/INV/JKC/01/2020
0000273/4/08/07/2019,MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA. PT,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-03-11 00:00:00.000,10217/INV/JKN/01/2020
0000307/4/01/06/2019,KOPERASI KARYAWAN COGINDO,2019-12-13 00:00:00.000,2020-01-12 00:00:00.000,2020-04-11 00:00:00.000,10220/INV/JKC/01/2020
0000164/4/08/05/2017,MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-03-11 00:00:00.000,10224/INV/JKN/01/2020
0000165/4/08/05/2017,MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-03-12 00:00:00.000,10225/INV/JKN/01/2020
0000213/4/10/03/2019,PT. ANUGERAH PRIMA SEJAHTERAH,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-03-12 00:00:00.000,10227/INV/JKS/01/2020
0000251/4/08/05/2019,MITSUBISHI MOTORS KRAMA YUDHA INDONESIA. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-03-12 00:00:00.000,10233/INV/JKN/01/2020
0000338/4/01/09/2019,TUV RHEINLAND INDONESIA,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-02-27 00:00:00.000,10234/INV/JKC/01/2020
0000230/4/10/07/2019,TRANS PACIFIC GLOBAL. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10228/INV/JKS/01/2020
0000231/4/10/07/2019,TRANS PACIFIC GLOBAL. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10229/INV/JKS/01/2020
0000232/4/10/07/2019,TRANS PACIFIC GLOBAL. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10230/INV/JKS/01/2020
0000234/4/10/07/2019,TRANS PACIFIC GLOBAL. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10231/INV/JKS/01/2020
0000235/4/10/07/2019,TRANS PACIFIC GLOBAL. PT,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10232/INV/JKS/01/2020
0000159/4/08/05/2017,MITSUBISHI MOTORS KRAMA YUDHA SALES INDONESIA,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-03-11 00:00:00.000,10223/INV/JKN/01/2020
0000157/4/01/04/2016,PT. ASURANSI MSIG INDONESIA,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10222/INV/JKC/01/2020
0000029/4/12/11/2016,PT. BINTANG INDO GLOBAL,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-01-27 00:00:00.000,10221/INV/PLB/01/2020
0000176/4/08/10/2017,PT KRAMA YUDHA TIGA BERLIAN MOTORS,2019-12-14 00:00:00.000,2020-01-13 00:00:00.000,2020-02-13 00:00:00.000,10226/INV/JKN/01/2020
0000006/4/31/02/2015,PUTRA RESTU IBU ABADI. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10237/INV/KRW/01/2020
0000014/4/31/07/2015,TENANG JAYA SEJAHTERA. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10239/INV/KRW/01/2020
0000006/4/03/01/2016,BORWITA CITRA PRIMA. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10236/INV/SBY/01/2020
0000013/4/31/06/2015,TENANG JAYA SEJAHTERA. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10238/INV/KRW/01/2020
0000204/4/08/04/2018,PT. KRAMA YUDHA RATU MOTOR,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-02-14 00:00:00.000,10240/INV/JKN/01/2020
0000216/4/01/01/2018,PT. TIDUNG JAYA MANDIRI INDONESIA,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-02-23 00:00:00.000,10241/INV/JKC/01/2020
0000240/4/01/08/2018,TOKIO MARINE LIFE INSURANCE INDONESIA. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10242/INV/JKC/01/2020
0000346/4/01/09/2019,ARTA BOGA CEMERLANG. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-02-13 00:00:00.000,10245/INV/JKC/01/2020
0000248/4/01/10/2018,TOKIO MARINE LIFE INSURANCE INDONESIA. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10243/INV/JKC/01/2020
0000284/4/01/05/2019,TOYAMILINDO. PT,2019-12-15 00:00:00.000,2020-01-14 00:00:00.000,2020-01-28 00:00:00.000,10244/INV/JKC/01/2020
